action name, timestamp
Get cheapest item,2021-05-20T17:07:58.596689700
Get cheapest item,2021-05-20T17:10:05.618975500
Get cheapest item,2021-05-20T17:14:48.626098100
Get all users,2021-05-20T17:17:13.488657400
Add user,2021-05-20T17:18:35.376099400
Get users filtered,2021-05-20T17:18:38.841119900
Get all users,2021-05-20T17:18:50.056871900
Get users filtered,2021-05-20T17:18:59.703863
Add order,2021-05-20T17:19:06.138908300
Add order,2021-05-20T17:19:10.989894700
Get all orders,2021-05-20T17:19:24.377638500
Get most expensive item,2021-05-20T17:19:24.393180
Get most expensive item,2021-05-20T17:20:44.345972300
Get cheapest item,2021-05-20T17:20:48.650918300
Get most bought item,2021-05-20T17:20:51.905253900
Get restaurant with most items,2021-05-20T17:21:09.528479600
Get restaurant with most expensive menu,2021-05-20T17:21:16.583866500
